,preprocessed_Tokens,Scores
878,network,-1532
879,networking,140
880,;,-291
881,networks,-291
882,nhs,-734
883,nhs,-734
884,niace,0
885,nial,-500
886,nihr,-340
887,nires,-60
888,nires,-60
889,nires,-60
890,nisp,0
891,nisp,-60
892,nisp,0
893,nissan,-220
894,nissan,-220
895,nist,-2068
896,nmi,-140
897,now,140
898,now,140
899,now,40
900,now,0
901,now,-291
902,now,-2088
903,now,60
904,npl,-140
905,nrn,-300
906,nrn,-300
907,nsg/pilkington,-1932
908,ntc,-220
909,nuclear,-2088
910,nuclear,-2088
911,nuclear,-20
912,oak,-20
913,obe,-300
914,obe,-300
915,oclaro,-220
916,ods,-300
917,ods,-300
918,of,-1712
919,ofgem,100
920,omcs,-268
921,on,-400
922,one,-100
923,one,-60
924,ong,-1932
925,only,140
926,onr,-420
927,ooi,0
928,operated,60
929,optical,-1532
930,orc,-460
931,orc,-460
932,orig-,-340
933,originally,-244
934,osd,100
935,ou,-20
936,outreach,1669
937,over,-44
938,over,-460
939,over,-20
940,a,-460
941,pa,-300
942,pa,-300
943,parish,-1712
944,particularly,140
945,part-time,-420
946,patent,-44
947,patent,60
948,patents,140
949,speirhuntercom,-340
950,pawb,-300
951,pawb,-300
952,pdr,40
953,pdras,-420
954,pdras,-100
955,pdras,-420
956,pe-,-340
957,pe,-291
958,peijs,-300
959,peijs,-300
960,pem,140
961,peo,-460
962,gl-groupcom,-340
963,peyton,40
964,pf-,-220
965,phase,-220
966,phd/engd,-420
967,philips,-1932
968,photonexcoventry,-1934
969,physica,-500
970,plus,-100
971,poc,-300
972,point,-3132
973,pop,-100
974,power,40
975,power,-1532
976,pr,-300
977,predominantly,-420
978,press/tv/radio/www,-2088
979,prof,-220
980,project,-500
981,project,60
982,projects,-500
983,:,-500
984,promotion,-1712
985,proof,-734
986,pseudo-spectral,-244
987,public,-291
988,purelu,-300
989,pus,1669
990,pwr,-420
991,qinetiq,-3132
992,qm,-291
993,qmi,-300
994,qmi,-291
995,qmul,-300
996,qub,-60
997,r,-1712
998,r2i,1669
999,raeng,-60
1000,raja,-3132
1001,rapajic,-500
1002,rbdm,140
1003,rda,-244
1004,reaching,-291
1005,recognised,0
1006,reconfigurable,-220
1007,red,-244
1008,ree,-220
1009,reece,-300
1010,reece,-300
1011,reece,-300
1012,ref3,-420
1013,ref3a,-2068
1014,ref3a,-1932
1015,ref3a,-220
1016,ref3a,-220
1017,ref3a,140
1018,ref3a,140
1019,ref3a,-500
1020,ref3a,-340
1021,ref3a,-3132
1022,ref3a,-100
1023,ref3a,40
1024,ref3a,-268
1025,ref3a,-244
1026,ref3a,-3266
1027,ref3a,-220
